GCA_025722995.1	Phytophthora agathidicida
GCA_030027945.1	Phytophthora plurivora
GCA_030324255.1	Phytophthora capsici
GCF_000142945.1	Phytophthora infestans T30-4
GCA_008080845.1	Phytophthora kernoviae
GCA_000500205.2	Phytophthora lateralis
GCA_007655245.1	Phytophthora citricola
GCA_001314375.1	Phytophthora podocarpi
GCA_011320135.1	Phytophthora betacei
GCA_018873745.1	Phytophthora aleatoria
GCA_030267785.1	Phytophthora fragariaefolia
GCF_000149755.1	Phytophthora sojae
GCA_020800215.1	Phytophthora ramorum
GCF_000247585.1	Phytophthora nicotianae INRA-310
GCA_016864655.1	Phytophthora cactorum
GCA_018691715.1	Phytophthora cinnamomi
GCA_018806915.1	Phytophthora colocasiae
GCA_000687305.2	Phytophthora rubi
GCA_024211575.1	Phytophthora melonis
GCA_009729435.1	Phytophthora fragariae
GCA_008079305.1	Phytophthora palmivora
GCA_033557995.1	Phytophthora crassamura
GCA_023611945.1	Phytophthora pini
GCA_032432875.1	Phytophthora meadii
GCA_019155715.1	Phytophthora pseudosyringae
GCA_002812785.1	Phytophthora litchii
GCA_001314425.1	Phytophthora pluvialis
GCA_012295475.1	Phytophthora gonapodyides
GCA_016169955.1	Phytophthora vignae f. sp. vignae
GCA_033557915.1	Phytophthora tentaculata
GCA_033557925.1	Phytophthora x cambivora
GCA_033558005.1	Phytophthora taxon juncus
GCA_031305395.1	Phytophthora citrophthora
GCA_032158285.1	Phytophthora sansomeana
GCA_001314345.1	Phytophthora multivora
GCA_000468175.2	Phytophthora cryptogea
GCA_002215365.1	Phytophthora megakarya
GCA_000500225.2	Phytophthora pinifolia
GCA_000443045.1	Phytophthora cambivora
GCA_000439335.1	Phytophthora x alni
GCA_033558025.1	Phytophthora sp. 'mugwort'
GCA_014706105.1	Phytophthora quercina
GCA_014706115.1	Phytophthora castanetorum
GCA_014706125.1	Phytophthora ohioensis (nom. inval.)
GCA_014706145.1	Phytophthora sp. ST_20190627
GCA_014706135.1	Phytophthora tubulina
GCA_012656075.1	Phytophthora hibernalis
GCA_011947355.1	Phytophthora boehmeriae
GCA_012656105.1	Phytophthora syringae
GCA_011947325.1	Phytophthora macrochlamydospora
GCA_011947345.1	Phytophthora quininea
GCA_011947335.1	Phytophthora constricta
GCA_016880985.1	Phytophthora idaei
GCA_030267725.1	Phytophthora lilii
GCA_012295415.1	Phytophthora chlamydospora
GCA_024679135.1	Phytophthora foliorum
GCA_024679225.1	Phytophthora pisi
GCA_024679045.1	Phytophthora brassicae
GCA_030463285.1	Phytophthora europaea
GCA_024679115.1	Phytophthora pistaciae
GCA_024679075.1	Phytophthora uliginosa
GCA_024679295.1	Phytophthora parvispora
GCA_024679175.1	Phytophthora cajani
GCA_024679275.1	Phytophthora niederhauseri
GCA_022750515.1	<b>Mortierellales</b>
GCA_008974285.1	<b>Thermogemmatisporales</b>
GCA_014858625.1	<b>Venturiales</b>
GCA_018394375.1	<b>Pseudomonadales</b>
GCA_021596325.1	<b>Pleosporales</b>
GCA_001314365.1	<b>Phytophthora cinnamomi</b>
GCA_001314505.1	<b>Phytophthora cinnamomi</b>
GCA_002734105.1	<b>Phytophthora cinnamomi</b>
GCA_020283495.1	<b>Phytophthora cinnamomi</b>
GCA_029747605.1	<b>Phytophthora cinnamomi</b>

