Accession n k30_s2000 k25_s2000 k21_s2000 k20_s2000 k19_s2000 k10_s2000 k21_s4000 k21_s1000 k19_s500
GCA_000149735.1 67486818 21231 21179 20766 20821 20714 910 10473 41685 83522
GCA_000318465.2 61013929 29448 29070 29002 28801 29175 1614 14559 57867 115871
GCA_000333055.2 46655703 22093 21682 21639 21281 21671 1170 10831 43008 86242
GCA_000333075.3 43050979 20909 20971 20460 20493 20684 724 10345 41019 82254
GCA_000333095.2 43528076 21136 21232 20726 20696 20856 730 10472 41497 83188
GCA_000333115.2 43469012 21121 21186 20660 20689 20825 729 10432 41403 82987
GCA_000336535.2 48308320 22949 22971 22749 22845 22665 863 11424 45624 91114
GCA_000338795.2 49640949 23414 23005 22915 22480 22823 1227 11472 45542 91220
GCA_000338815.2 47555355 22617 22228 22200 21900 22276 1187 11114 44176 88528
GCA_000340395.2 39354211 18867 18978 18863 19167 18792 804 9468 37794 75560
GCA_000439335.1 239008219 76952 72149 68192 67255 65599 3039 34241 135970 272582
GCA_000443045.1 233534499 58018 54651 52039 51319 50677 2760 26130 104180 208641
GCA_000448265.2 39977157 18177 18281 17737 17834 17982 720 8945 35540 71497
GCA_000468175.2 64646683 24742 24161 24093 23973 23739 1287 12129 47897 95894
GCA_000500205.2 53108570 23767 23314 23080 22605 23012 1098 11526 46016 92175
GCA_000500225.2 95817914 31435 30173 29350 29013 28532 1535 14784 58411 116731
GCA_000509465.1 48679260 23033 23079 23067 23041 22975 1327 11536 46255 92052
GCA_000509485.1 48045558 22770 22835 22800 22770 22708 1308 11390 45691 90963
GCA_000509505.1 48410320 23034 23075 22893 22833 22942 1323 11503 45817 91451
GCA_000509525.1 48316528 23081 22928 22915 22911 22875 1327 11469 45801 91344
GCA_000686205.4 76932016 31987 31507 30665 30508 30246 1289 15379 61086 122455
GCA_000687305.2 79961817 31124 30607 30324 29706 29523 1588 15101 60219 120506
GCA_000751395.2 59596164 27553 27000 27115 26654 26783 1626 13459 54203 108201
GCA_000785725.3 37171947 17859 18003 17489 17582 17733 694 8818 35048 70500
GCA_000785735.3 37049235 17818 17963 17404 17545 17711 693 8780 34915 70259
GCA_001278135.1 42499830 19819 19944 19735 19841 19577 832 9892 39622 79183
GCA_001278145.1 42277159 19813 19897 19633 19857 19582 831 9837 39449 79000
GCA_001278155.1 42259081 19805 19881 19688 19805 19587 832 9862 39447 79005
GCA_001278165.1 41867278 19817 19892 19751 19899 19658 839 9878 39552 79119
GCA_001278215.1 42346485 19911 20051 19802 20032 19764 831 9912 39792 79595
GCA_001278225.1 42368190 19791 19945 19679 19806 19599 828 9849 39488 78998
GCA_001278235.1 42491462 19869 19921 19728 19912 19623 824 9900 39581 79211
GCA_001314345.1 40564390 19426 19564 19289 19347 19400 1261 9608 38636 77390
GCA_001314355.1 40835483 19575 19638 19367 19403 19493 1261 9660 38764 77709
GCA_001314365.1 54365410 26190 26254 26066 26096 25895 869 13082 51942 103556
GCA_001314375.1 56277789 26661 26671 26143 26013 26261 1547 13176 52678 104981
GCA_001314425.1 54293385 25551 25441 24964 24842 25017 1537 12422 49957 100038
GCA_001314435.1 37809042 17759 17940 17828 17898 17738 607 8971 35635 71402
GCA_001314445.1 37705797 17751 17900 17822 17872 17725 605 8973 35592 71301
GCA_001314455.1 53396777 25221 25143 24667 24552 24790 1536 12256 49337 98826
GCA_001314505.1 54647042 26123 26015 26046 25873 25735 832 13056 51932 103325
GCA_001314925.1 55592035 26261 26318 25869 25712 25965 1515 13070 52035 103670
GCA_001482985.1 72309311 26503 25934 25666 25308 25429 1239 12820 51157 102036
GCA_001483015.1 82633274 25265 24869 24830 24482 24683 1201 12370 49532 98608
GCA_001707905.2 38682503 18069 18205 17576 17755 17833 717 8857 35292 71022
GCA_001712645.2 37466154 17627 17561 17427 17310 17327 699 8744 34781 69660
GCA_001712655.1 38588741 18054 18192 17581 17752 17839 717 8865 35287 70989
GCA_001712705.2 37149886 17689 17638 17487 17364 17335 703 8773 34867 69833
GCA_001712715.2 37835829 17989 18149 17546 17712 17783 716 8846 35231 70833
GCA_001933315.1 39529821 19254 18988 19016 19213 18845 1378 9485 38117 76266
GCA_001933325.1 39480448 19149 18995 19061 19137 18836 1389 9517 38129 76219
GCA_001933335.1 39360819 19306 19059 19018 19161 18934 1393 9488 38170 76368
GCA_001933345.1 39635022 19306 19048 19062 19265 18922 1398 9552 38292 76561
GCA_001933395.1 39758578 19304 19112 19149 19350 19018 1402 9561 38358 76732
GCA_001933405.1 39676326 19359 19091 19150 19323 19027 1396 9567 38301 76744
GCA_001933415.1 39681263 19284 19025 19120 19254 18903 1410 9554 38300 76624
GCA_001933455.1 39791088 19262 19119 19189 19366 18909 1390 9566 38471 76901
GCA_001933465.1 40936478 19782 19719 19652 19898 19528 1433 9780 39413 78979
GCA_001933485.1 39706000 19252 19079 19129 19285 18891 1393 9576 38362 76730
GCA_001955675.1 41279297 19889 19914 19758 20008 19737 837 9912 39577 79201
GCA_002025845.1 77935995 33431 32751 31828 31669 31329 1388 15977 63369 127176
GCA_002025925.1 75804006 32647 31977 31535 30806 30590 1622 15720 62574 125123
GCA_002215365.1 102785059 44411 43101 41607 41284 40871 1788 20944 83935 167379
GCA_002247145.1 40947641 19583 19585 19708 19420 19597 1395 9872 39073 77542
GCA_002288995.1 57309778 22401 22159 22046 21925 21548 602 11081 44001 88036
GCA_002734105.1 63589482 30311 30080 29914 29704 29647 991 14994 59538 118861
GCA_002734125.1 68920635 32778 32941 32515 32451 32299 1017 16349 64825 129329
GCA_002812785.1 38679692 18866 18919 18642 18687 18835 1223 9265 37196 74633
GCA_002911725.1 109132272 38763 37347 35443 34933 34594 1281 17827 71021 141673
GCA_002968915.1 61003228 21142 21046 20611 20643 20553 909 10377 41228 82747
GCA_003287315.1 59993950 25861 26186 25722 25557 25870 1221 12786 51562 103175
GCA_003328465.1 59784026 26244 25953 25714 25367 25605 1198 12860 51351 102319
GCA_003956735.1 70999146 22403 21921 21668 21751 21358 1559 10843 43515 87119
GCA_004137865.1 54102658 24629 24131 24084 23601 23713 820 12039 47955 95954
